架构,优化级别,矩阵大小,算法,执行时间(秒)
x86_64,O0,100,算法1,0.000038
x86_64,O0,100,算法1_展开,0.000036
x86_64,O0,100,算法2,0.000034
x86_64,O0,100,算法2_展开,0.000028
x86_64,O0,200,算法1,0.000133
x86_64,O0,200,算法1_展开,0.000154
x86_64,O0,200,算法2,0.000132
x86_64,O0,200,算法2_展开,0.000109
x86_64,O0,300,算法1,0.000316
x86_64,O0,300,算法1_展开,0.000405
x86_64,O0,300,算法2,0.000298
x86_64,O0,300,算法2_展开,0.000320
x86_64,O0,400,算法1,0.000597
x86_64,O0,400,算法1_展开,0.000683
x86_64,O0,400,算法2,0.000542
x86_64,O0,400,算法2_展开,0.000443
x86_64,O0,500,算法1,0.001148
x86_64,O0,500,算法1_展开,0.001213
x86_64,O0,500,算法2,0.000833
x86_64,O0,500,算法2_展开,0.000728
x86_64,O0,600,算法1,0.002218
x86_64,O0,600,算法1_展开,0.002343
x86_64,O0,600,算法2,0.001278
x86_64,O0,600,算法2_展开,0.000960
x86_64,O0,700,算法1,0.004182
x86_64,O0,700,算法1_展开,0.002336
x86_64,O0,700,算法2,0.001667
x86_64,O0,700,算法2_展开,0.001346
x86_64,O0,800,算法1,0.007336
x86_64,O0,800,算法1_展开,0.005171
x86_64,O0,800,算法2,0.002238
x86_64,O0,800,算法2_展开,0.001762
x86_64,O0,900,算法1,0.009440
x86_64,O0,900,算法1_展开,0.006589
x86_64,O0,900,算法2,0.002775
x86_64,O0,900,算法2_展开,0.002176
x86_64,O0,1000,算法1,0.011583
x86_64,O0,1000,算法1_展开,0.009544
x86_64,O0,1000,算法2,0.003452
x86_64,O0,1000,算法2_展开,0.002748
x86_64,O0,1100,算法1,0.014315
x86_64,O0,1100,算法1_展开,0.014397
x86_64,O0,1100,算法2,0.004109
x86_64,O0,1100,算法2_展开,0.003299
x86_64,O0,1200,算法1,0.017047
x86_64,O0,1200,算法1_展开,0.009766
x86_64,O0,1200,算法2,0.005012
x86_64,O0,1200,算法2_展开,0.003788
x86_64,O0,1300,算法1,0.020001
x86_64,O0,1300,算法1_展开,0.021341
x86_64,O0,1300,算法2,0.005929
x86_64,O0,1300,算法2_展开,0.004630
x86_64,O0,1400,算法1,0.022828
x86_64,O0,1400,算法1_展开,0.017730
x86_64,O0,1400,算法2,0.006852
x86_64,O0,1400,算法2_展开,0.005452
x86_64,O0,1500,算法1,0.026277
x86_64,O0,1500,算法1_展开,0.029522
x86_64,O0,1500,算法2,0.007805
x86_64,O0,1500,算法2_展开,0.006359
x86_64,O0,1600,算法1,0.029712
x86_64,O0,1600,算法1_展开,0.030438
x86_64,O0,1600,算法2,0.008821
x86_64,O0,1600,算法2_展开,0.006969
x86_64,O0,1700,算法1,0.034510
x86_64,O0,1700,算法1_展开,0.035547
x86_64,O0,1700,算法2,0.010280
x86_64,O0,1700,算法2_展开,0.008434
x86_64,O0,1800,算法1,0.040000
x86_64,O0,1800,算法1_展开,0.039921
x86_64,O0,1800,算法2,0.011214
x86_64,O0,1800,算法2_展开,0.008764
x86_64,O0,1900,算法1,0.045365
x86_64,O0,1900,算法1_展开,0.045262
x86_64,O0,1900,算法2,0.012259
x86_64,O0,1900,算法2_展开,0.010130
x86_64,O0,2000,算法1,0.049881
x86_64,O0,2000,算法1_展开,0.049977
x86_64,O0,2000,算法2,0.013583
x86_64,O0,2000,算法2_展开,0.010943
x86_64,O0,2100,算法1,0.055739
x86_64,O0,2100,算法1_展开,0.057609
x86_64,O0,2100,算法2,0.015470
x86_64,O0,2100,算法2_展开,0.011750
x86_64,O0,2200,算法1,0.061901
x86_64,O0,2200,算法1_展开,0.058861
x86_64,O0,2200,算法2,0.016618
x86_64,O0,2200,算法2_展开,0.012954
x86_64,O0,2300,算法1,0.066779
x86_64,O0,2300,算法1_展开,0.066173
x86_64,O0,2300,算法2,0.018206
x86_64,O0,2300,算法2_展开,0.014302
x86_64,O0,2400,算法1,0.331790
x86_64,O0,2400,算法1_展开,0.077461
x86_64,O0,2400,算法2,0.020777
x86_64,O0,2400,算法2_展开,0.015956
x86_64,O0,2500,算法1,0.076937
x86_64,O0,2500,算法1_展开,0.082170
x86_64,O0,2500,算法2,0.021881
x86_64,O0,2500,算法2_展开,0.017255
x86_64,O0,2600,算法1,0.088992
x86_64,O0,2600,算法1_展开,0.082332
x86_64,O0,2600,算法2,0.023615
x86_64,O0,2600,算法2_展开,0.019173
x86_64,O0,2700,算法1,0.092338
x86_64,O0,2700,算法1_展开,0.075532
x86_64,O0,2700,算法2,0.025312
x86_64,O0,2700,算法2_展开,0.020233
x86_64,O0,2800,算法1,0.094791
x86_64,O0,2800,算法1_展开,0.085759
x86_64,O0,2800,算法2,0.027354
x86_64,O0,2800,算法2_展开,0.022010
x86_64,O0,2900,算法1,0.103255
x86_64,O0,2900,算法1_展开,0.100109
x86_64,O0,2900,算法2,0.029414
x86_64,O0,2900,算法2_展开,0.023023
x86_64,O0,3000,算法1,0.114263
x86_64,O0,3000,算法1_展开,0.108693
x86_64,O0,3000,算法2,0.031265
x86_64,O0,3000,算法2_展开,0.025555
x86_64,O0,3100,算法1,0.118754
x86_64,O0,3100,算法1_展开,0.103443
x86_64,O0,3100,算法2,0.033931
x86_64,O0,3100,算法2_展开,0.027171
x86_64,O0,3200,算法1,0.126546
x86_64,O0,3200,算法1_展开,0.108361
x86_64,O0,3200,算法2,0.035839
x86_64,O0,3200,算法2_展开,0.028484
x86_64,O0,3300,算法1,0.131770
x86_64,O0,3300,算法1_展开,0.106419
x86_64,O0,3300,算法2,0.038164
x86_64,O0,3300,算法2_展开,0.030378
x86_64,O0,3400,算法1,0.143245
x86_64,O0,3400,算法1_展开,0.119352
x86_64,O0,3400,算法2,0.042774
x86_64,O0,3400,算法2_展开,0.032924
x86_64,O0,3500,算法1,0.404481
x86_64,O0,3500,算法1_展开,0.125981
x86_64,O0,3500,算法2,0.043187
x86_64,O0,3500,算法2_展开,0.034405
x86_64,O0,3600,算法1,0.160936
x86_64,O0,3600,算法1_展开,0.126648
x86_64,O0,3600,算法2,0.045793
x86_64,O0,3600,算法2_展开,0.035853
