Implementation,nprobe,batch_size,Recall,Latency(μs),Speedup,Throughput(qps),Build_Time(ms)
CPU OpenMP,1,1,0.57595,272.275,1.0,3672.757322559912,4506.66
CPU OpenMP,2,1,0.7284,543.117,1.0,1841.2238983497111,4506.66
CPU OpenMP,4,1,0.849,533.283,1.0,1875.1769698265273,4506.66
CPU OpenMP,8,1,0.92665,415.323,1.0,2407.7645591503483,4506.66
CPU OpenMP,16,1,0.9708,518.542,1.0,1928.484095791662,4506.66
CPU OpenMP,32,1,0.9904,753.59,1.0,1326.9815151474938,4506.66
IVF (GPU Optimized Batch),4,2000,0.786,0.293,1820.077,3412969.0,4677.629
IVF (GPU Optimized Batch),8,2000,0.805,0.447,929.134,2237136.0,4677.629
IVF (GPU Optimized Batch),8,1000,0.903,0.493,842.44,2028397.0,4677.629
IVF (GPU Optimized Batch),16,2000,0.805,0.968,535.96,1033591.0,4677.629
IVF (GPU Optimized Batch),16,1000,0.902,1.035,501.006,966183.0,4677.629
IVF (GPU Optimized Batch),16,500,0.939,1.864,278.188,536480.0,4677.629
IVF (GPU Optimized Batch),32,2000,0.805,2.969,253.862,336870.0,4677.629
IVF (GPU Optimized Batch),32,1000,0.902,3.06,246.271,326797.0,4677.629
IVF (GPU Optimized Batch),32,500,0.939,5.818,129.527,171880.0,4677.629
IVF (GPU Optimized Batch),2,1000,0.728,5.393,100.708,185425.0,4677.629
IVF (GPU Optimized Batch),2,2000,0.718,5.428,100.068,184246.0,4677.629
IVF (GPU Optimized Batch),2,500,0.723,5.972,90.944,167448.0,4677.629
IVF (GPU Optimized Batch),4,1000,0.863,11.109,48.005,90017.0,4677.629
IVF (GPU Optimized Batch),4,500,0.862,11.32,47.11,88339.0,4677.629
IVF (GPU Adaptive Optimized Batch),2,200,0.71,17.11,31.743,58445.0,4677.629
IVF (GPU Adaptive Optimized Batch),2,500,0.731,20.112,27.005,49721.0,4677.629
IVF (GPU Adaptive Optimized Batch),2,1000,0.73,22.413,24.232,44616.0,4677.629
IVF (GPU Optimized Batch),8,500,0.941,22.754,18.253,43948.0,4677.629
IVF (GPU Adaptive Optimized Batch),4,500,0.858,59.566,8.953,16788.0,4677.629
IVF (GPU Adaptive Optimized Batch),4,200,0.836,60.73,8.781,16466.0,4677.629
IVF (GPU Adaptive Optimized Batch),4,1000,0.861,66.578,8.01,15019.0,4677.629
