架构,优化级别,矩阵大小,算法,执行时间(秒)
arm64,O0,100,算法1,0.000578
arm64,O0,100,算法1_展开,0.000563
arm64,O0,100,算法2,0.000551
arm64,O0,100,算法2_展开,0.000390
arm64,O0,200,算法1,0.002096
arm64,O0,200,算法1_展开,0.002135
arm64,O0,200,算法2,0.001940
arm64,O0,200,算法2_展开,0.001638
arm64,O0,300,算法1,0.005124
arm64,O0,300,算法1_展开,0.004744
arm64,O0,300,算法2,0.005480
arm64,O0,300,算法2_展开,0.003637
arm64,O0,400,算法1,0.008370
arm64,O0,400,算法1_展开,0.009752
arm64,O0,400,算法2,0.007909
arm64,O0,400,算法2_展开,0.006461
arm64,O0,500,算法1,0.013672
arm64,O0,500,算法1_展开,0.016000
arm64,O0,500,算法2,0.012838
arm64,O0,500,算法2_展开,0.010188
arm64,O0,600,算法1,0.021016
arm64,O0,600,算法1_展开,0.022753
arm64,O0,600,算法2,0.018644
arm64,O0,600,算法2_展开,0.014151
arm64,O0,700,算法1,0.029553
arm64,O0,700,算法1_展开,0.030068
arm64,O0,700,算法2,0.024744
arm64,O0,700,算法2_展开,0.018941
arm64,O0,800,算法1,0.037504
arm64,O0,800,算法1_展开,0.039998
arm64,O0,800,算法2,0.033004
arm64,O0,800,算法2_展开,0.025047
arm64,O0,900,算法1,0.048966
arm64,O0,900,算法1_展开,0.050349
arm64,O0,900,算法2,0.041796
arm64,O0,900,算法2_展开,0.031063
arm64,O0,1000,算法1,0.060518
arm64,O0,1000,算法1_展开,0.063115
arm64,O0,1000,算法2,0.055024
arm64,O0,1000,算法2_展开,0.040417
arm64,O0,1100,算法1,0.077368
arm64,O0,1100,算法1_展开,0.081118
arm64,O0,1100,算法2,0.064537
arm64,O0,1100,算法2_展开,0.280103
arm64,O0,1200,算法1,0.088726
arm64,O0,1200,算法1_展开,0.096430
arm64,O0,1200,算法2,0.076942
arm64,O0,1200,算法2_展开,0.056119
arm64,O0,1300,算法1,0.103959
arm64,O0,1300,算法1_展开,0.113275
arm64,O0,1300,算法2,0.088010
arm64,O0,1300,算法2_展开,0.067072
arm64,O0,1400,算法1,0.123059
arm64,O0,1400,算法1_展开,0.128439
arm64,O0,1400,算法2,0.103935
arm64,O0,1400,算法2_展开,0.080329
arm64,O0,1500,算法1,0.145507
arm64,O0,1500,算法1_展开,0.149225
arm64,O0,1500,算法2,0.118450
arm64,O0,1500,算法2_展开,0.090517
arm64,O0,1600,算法1,0.161629
arm64,O0,1600,算法1_展开,0.171546
arm64,O0,1600,算法2,0.130994
arm64,O0,1600,算法2_展开,0.104400
arm64,O0,1700,算法1,0.182394
arm64,O0,1700,算法1_展开,0.192982
arm64,O0,1700,算法2,0.151317
arm64,O0,1700,算法2_展开,0.330607
arm64,O0,1800,算法1,0.207966
arm64,O0,1800,算法1_展开,0.221697
arm64,O0,1800,算法2,0.172723
arm64,O0,1800,算法2_展开,0.131127
arm64,O0,1900,算法1,0.232527
arm64,O0,1900,算法1_展开,0.258967
arm64,O0,1900,算法2,0.193395
arm64,O0,1900,算法2_展开,0.151666
arm64,O0,2000,算法1,0.277627
arm64,O0,2000,算法1_展开,0.298197
arm64,O0,2000,算法2,0.211129
arm64,O0,2000,算法2_展开,0.170696
arm64,O0,2100,算法1,0.539047
arm64,O0,2100,算法1_展开,0.303465
arm64,O0,2100,算法2,0.269855
arm64,O0,2100,算法2_展开,0.181419
arm64,O0,2200,算法1,0.334530
arm64,O0,2200,算法1_展开,0.348898
arm64,O0,2200,算法2,0.266322
arm64,O0,2200,算法2_展开,0.196424
arm64,O0,2300,算法1,0.358236
arm64,O0,2300,算法1_展开,0.597811
arm64,O0,2300,算法2,0.282681
arm64,O0,2300,算法2_展开,0.213239
arm64,O0,2400,算法1,0.376099
arm64,O0,2400,算法1_展开,0.402632
arm64,O0,2400,算法2,0.312402
arm64,O0,2400,算法2_展开,0.231630
arm64,O0,2500,算法1,0.421746
arm64,O0,2500,算法1_展开,0.437393
arm64,O0,2500,算法2,0.326473
arm64,O0,2500,算法2_展开,0.477355
arm64,O0,2600,算法1,0.454903
arm64,O0,2600,算法1_展开,0.498658
arm64,O0,2600,算法2,0.379996
arm64,O0,2600,算法2_展开,0.297560
arm64,O0,2700,算法1,0.493133
